f000001,0.000,2.680,"1"
f000002,2.680,5.880,"From fairest creatures we desire increase,"
f000003,5.880,8.640,"That thereby beauty's rose might never die,"
f000004,8.640,11.960,"But as the riper should by time decease,"
f000005,11.960,14.440,"His tender heir might bear his memory:"
f000006,14.440,18.520,"But thou contracted to thine own bright eyes,"
f000007,18.520,22.720,"Feed'st thy light's flame with self-substantial fuel,"
f000008,22.720,25.480,"Making a famine where abundance lies,"
f000009,25.480,30.400,"Thy self thy foe, to thy sweet self too cruel:"
f000010,30.400,34.400,"Thou that art now the world's fresh ornament,"
f000011,34.400,36.600,"And only herald to the gaudy spring,"
f000012,36.600,40.640,"Within thine own bud buriest thy content,"
f000013,40.640,43.640,"And tender churl mak'st waste in niggarding:"
f000014,43.640,48.080,"Pity the world, or else this glutton be,"
f000015,48.080,53.240,"To eat the world's due, by the grave and thee."
